timestamp,equity,position
2026-05-30 00:00:00,100.0,0
2026-05-30 04:00:00,100.0,0
2026-05-30 08:00:00,100.0,0
2026-05-30 12:00:00,100.0,0
2026-05-30 16:00:00,100.0,0
2026-05-30 20:00:00,100.0,0
2026-05-31 00:00:00,100.0,0
2026-05-31 04:00:00,100.0,0
2026-05-31 08:00:00,100.0,0
2026-05-31 12:00:00,100.0,0
2026-05-31 20:00:00,97.5851,-1
2026-06-01 00:00:00,97.5851,-1
2026-06-01 04:00:00,103.4867,-1
2026-06-01 08:00:00,102.5543,-1
2026-06-01 12:00:00,104.8875,-1
2026-06-01 20:00:00,98.5953,0
2026-06-02 00:00:00,98.5953,0
2026-06-02 04:00:00,98.5953,0
2026-06-02 08:00:00,98.5953,0
2026-06-02 16:00:00,98.8892,-1
2026-06-02 20:00:00,99.3799,-1
2026-06-03 00:00:00,99.3799,-1
2026-06-03 08:00:00,102.7213,0
2026-06-03 12:00:00,102.7213,0
2026-06-03 20:00:00,100.677,-1
2026-06-04 00:00:00,100.677,-1
2026-06-04 04:00:00,100.677,-1
2026-06-04 08:00:00,101.8384,-1
2026-06-04 12:00:00,101.8384,-1
2026-06-04 16:00:00,101.8384,-1
2026-06-04 20:00:00,101.8384,-1
2026-06-05 00:00:00,101.8384,-1
2026-06-05 04:00:00,101.8384,-1
2026-06-05 08:00:00,102.3176,-1
2026-06-05 12:00:00,102.3176,-1
2026-06-05 16:00:00,102.3176,-1
2026-06-05 20:00:00,102.3176,-1
2026-06-06 00:00:00,102.3176,-1
2026-06-06 04:00:00,102.3176,-1
2026-06-06 08:00:00,102.3176,-1
2026-06-06 12:00:00,102.3176,-1
2026-06-06 16:00:00,102.3176,-1
2026-06-06 20:00:00,102.3176,-1
2026-06-07 00:00:00,127.66,-1
2026-06-07 04:00:00,127.66,-1
2026-06-07 08:00:00,127.66,-1
2026-06-07 12:00:00,127.66,-1
2026-06-07 16:00:00,127.66,-1
2026-06-07 20:00:00,127.66,-1
2026-06-08 04:00:00,114.8856,0
2026-06-08 08:00:00,114.8856,0
2026-06-08 12:00:00,114.8856,0
